institution,full_name,institution_order,institution_display,institution_code,consortium_ring_1,consortium_ring_2,consortium_ring_3,consortium_ring_4,consortium_ring_5,skill_code,base_skill_code,skill_name,skill_family,skill_theme,skill_type,environment,environment_code,tidal_regime,tidal_code,timescale,timescale_code,spatial_scale,spatial_code,data_modality,method_stage,family_order,skill_order,environment_order,tide_order,timescale_order,spatial_order,ring_1,ring_2,ring_3,ring_4,ring_5,ring_6,node_value,spatial_letter,family_letter,skill_letter,environment_letter,skill_name_short,short_code,legend_skill,legend_environment,legend_spatial,legend_family,skill_family_display,skill_name_display,environment_display
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,subregion,Observations,sandy beach,SOES,OBS1.SB.MI.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,interannual,IA,subregion,SU,satellite imagery,observation,1,1,1,1,3,2,Observations,Satellite-derived shoreline extraction,sandy beach,micro,interannual,subregion,1,S,O,E,S,E,AOSS,E = Satellite-derived shoreline extraction,S = sandy beach,S = subregion,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,regional,Observations,sandy beach,ROES,OBS1.SB.MI.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,interannual,IA,regional,RG,satellite imagery,observation,1,1,1,1,3,3,Observations,Satellite-derived shoreline extraction,sandy beach,micro,interannual,regional,1,R,O,E,S,E,AOSR,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,subregion,Observations,sandy beach,SOES,OBS1.SB.MI.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,decadal,DE,subregion,SU,satellite imagery,observation,1,1,1,1,4,2,Observations,Satellite-derived shoreline extraction,sandy beach,micro,decadal,subregion,1,S,O,E,S,E,AOSS,E = Satellite-derived shoreline extraction,S = sandy beach,S = subregion,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,regional,Observations,sandy beach,ROES,OBS1.SB.MI.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,decadal,DE,regional,RG,satellite imagery,observation,1,1,1,1,4,3,Observations,Satellite-derived shoreline extraction,sandy beach,micro,decadal,regional,1,R,O,E,S,E,AOSR,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,subregion,Observations,sandy beach,SOES,OBS1.SB.ME.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,interannual,IA,subregion,SU,satellite imagery,observation,1,1,1,2,3,2,Observations,Satellite-derived shoreline extraction,sandy beach,meso,interannual,subregion,1,S,O,E,S,E,AOSS,E = Satellite-derived shoreline extraction,S = sandy beach,S = subregion,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,regional,Observations,sandy beach,ROES,OBS1.SB.ME.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,interannual,IA,regional,RG,satellite imagery,observation,1,1,1,2,3,3,Observations,Satellite-derived shoreline extraction,sandy beach,meso,interannual,regional,1,R,O,E,S,E,AOSR,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,subregion,Observations,sandy beach,SOES,OBS1.SB.ME.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,decadal,DE,subregion,SU,satellite imagery,observation,1,1,1,2,4,2,Observations,Satellite-derived shoreline extraction,sandy beach,meso,decadal,subregion,1,S,O,E,S,E,AOSS,E = Satellite-derived shoreline extraction,S = sandy beach,S = subregion,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,regional,Observations,sandy beach,ROES,OBS1.SB.ME.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,decadal,DE,regional,RG,satellite imagery,observation,1,1,1,2,4,3,Observations,Satellite-derived shoreline extraction,sandy beach,meso,decadal,regional,1,R,O,E,S,E,AOSR,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,subregion,Observations,sandy beach,SOES,OBS1.SB.MA.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,macro,MA,interannual,IA,subregion,SU,satellite imagery,observation,1,1,1,3,3,2,Observations,Satellite-derived shoreline extraction,sandy beach,macro,interannual,subregion,1,S,O,E,S,E,AOSS,E = Satellite-derived shoreline extraction,S = sandy beach,S = subregion,O = Observations,O,E,S
FIHAC,ENVIRONMENTAL HYDRAULICS INSTITUTE FOUNDATION OF CANTABRIA,1,FIHAC,A,FIHAC,regional,Observations,sandy beach,ROES,OBS1.SB.MA.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,macro,MA,interannual,IA,regional,RG,satellite imagery,observation,1,1,1,3,3,3,Observations,Satellite-derived shoreline extraction,sandy beach,macro,interannual,regional,1,R,O,E,S,E,AOSR,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S
